,name,rating,genre,score,votes,director,writer,star,country,budget,gross revenue,company,runtime,release month,release day,release year,release month num,release date,release quarter,release day of week
5858,Four Adventures of Reinette and Mirabelle,Not Rated,Comedy,7.6,2200.0,Éric Rohmer,Éric Rohmer,Joëlle Miquel,France,-9047164.152975837,22039.0,Compagnie Eric Rohmer (CER),99.0,July,19,1989,7,1989-07-19,3,Wednesday
5889,As Tears Go By,Not Rated,Crime,7.0,9000.0,Kar-Wai Wong,Jeffrey Lau,Andy Lau,Hong Kong,-1309415.9940371476,13133.0,In-Gear Film Production,102.0,May,2,2008,5,2008-05-02,2,Friday
5906,Salaam Bombay!,Not Rated,Crime,8.0,8800.0,Mira Nair,Mira Nair,Shafiq Syed,United States,-1658178.1312442755,2080758.0,Mirabai Films,113.0,October,7,1988,10,1988-10-07,4,Friday
5945,My Left Foot,R,Biography,7.9,70000.0,Jim Sheridan,Shane Connaughton,Daniel Day-Lewis,Ireland,-314236.73882451653,14743391.0,Ferndale Films,103.0,March,30,1990,3,1990-03-30,1,Friday
5970,How to Get Ahead in Advertising,R,Comedy,6.9,5700.0,Bruce Robinson,Bruce Robinson,Richard E. Grant,United Kingdom,-981468.416847296,418053.0,HandMade Films,90.0,March,29,1990,3,1990-03-29,1,Thursday
6008,Days of Being Wild,Not Rated,Crime,7.5,19000.0,Kar-Wai Wong,Jeffrey Lau,Leslie Cheung,Hong Kong,-8228659.151486371,3106052.0,In-Gear Film,94.0,December,15,1990,12,1990-12-15,4,Saturday
6039,The Hairdresser's Husband,R,Comedy,7.3,9200.0,Patrice Leconte,Claude Klotz,Jean Rochefort,France,-7587388.13901791,1217084.0,Lambart Productions,82.0,October,3,1990,10,1990-10-03,4,Wednesday
6079,The Double Life of Véronique,R,Drama,7.8,44000.0,Krzysztof Kieslowski,Krzysztof Kieslowski,Irène Jacob,France,-4693247.929819427,2175939.0,Sidéral Productions,98.0,November,22,1991,11,1991-11-22,4,Friday
6080,Delicatessen,R,Comedy,7.6,82000.0,Marc Caro,Jean-Pierre Jeunet,Marie-Laure Dougnac,France,-426618.4163667038,1794187.0,Constellation,99.0,April,3,1992,4,1992-04-03,2,Friday
6081,Wild Hearts Can't Be Broken,G,Drama,7.2,5000.0,Steve Miner,Matt Williams,Gabrielle Anwar,United States,-5836635.799671989,7294835.0,Walt Disney Pictures,88.0,May,24,1991,5,1991-05-24,2,Friday
6100,Dogfight,R,Comedy,7.4,8700.0,Nancy Savoca,Bob Comfort,River Phoenix,United States,-2077053.181905277,394631.0,Warner Bros.,94.0,October,4,1991,10,1991-10-04,4,Friday
6103,Flirting,R,Drama,7.2,5800.0,John Duigan,John Duigan,Noah Taylor,Australia,-383147.950794965,2415396.0,Kennedy Miller Productions,99.0,November,14,1992,11,1992-11-14,4,Saturday
6113,Mediterraneo,R,Comedy,7.5,14000.0,Gabriele Salvatores,Enzo Monteleone,Diego Abatantuono,Italy,-1097902.4758731574,4532791.0,A.M.A. Film,96.0,January,31,1991,1,1991-01-31,1,Thursday
6116,Edward II,R,Drama,6.8,2500.0,Derek Jarman,Christopher Marlowe,Steven Waddington,United Kingdom,-4334261.989340521,706131.0,British Screen Productions,87.0,October,18,1991,10,1991-10-18,4,Friday
6124,Proof,R,Drama,7.2,6300.0,Jocelyn Moorhouse,Jocelyn Moorhouse,Hugo Weaving,Australia,-7421517.110838816,524668.0,House & Moorhouse Films,86.0,March,20,1992,3,1992-03-20,1,Friday
6128,Tous les matins du monde,Not Rated,Biography,7.5,6800.0,Alain Corneau,Pascal Quignard,Gérard Depardieu,France,-1444893.4331899472,3089497.0,Film Par Film,115.0,December,18,1991,12,1991-12-18,4,Wednesday
6137,Sólo con tu pareja,Not Rated,Comedy,6.9,3500.0,Alfonso Cuarón,Alfonso Cuarón,Daniel Giménez Cacho,Mexico,-7197070.124869697,9915.0,Esperanto Filmoj,94.0,December,25,1992,12,1992-12-25,4,Friday
6161,Man Bites Dog,NC-17,Comedy,7.5,37000.0,Rémy Belvaux,Rémy Belvaux,Benoît Poelvoorde,Belgium,-1597224.4770425018,205569.0,Les Artistes Anonymes,95.0,January,15,1993,1,1993-01-15,1,Friday
6181,In the Soup,R,Comedy,7.1,3400.0,Alexandre Rockwell,Sollace Mitchell,Steve Buscemi,United States,-716100.7598272488,256249.0,Alliance Communications Corporation,93.0,August,13,1992,8,1992-08-13,3,Thursday
6190,Qing shao nian nuo zha,Not Rated,Crime,7.6,4000.0,Ming-liang Tsai,Ming-liang Tsai,Chao-jung Chen,Taiwan,-3050176.5827882774,28791.0,Central Motion Pictures,106.0,August,4,1994,8,1994-08-04,3,Thursday
6192,Léolo,Not Rated,Comedy,7.5,6700.0,Jean-Claude Lauzon,Jean-Claude Lauzon,Maxime Collin,Canada,-4148969.6360120326,611703.0,Alliance Films Corporation,107.0,April,2,1993,4,1993-04-02,2,Friday
6194,Hyenas,Not Rated,Comedy,7.4,1000.0,Djibril Diop Mambéty,Friedrich Dürrenmatt,Mansour Diouf,Switzerland,-2036802.482648395,24672.0,Thelma Film AG,110.0,April,26,2019,4,2019-04-26,2,Friday
6195,A Tale of Winter,Not Rated,Drama,7.3,4400.0,Éric Rohmer,Éric Rohmer,Charlotte Véry,France,-1762090.2012669332,52431.0,Compagnie Eric Rohmer (CER),114.0,January,29,1992,1,1992-01-29,1,Wednesday
6196,Brain Donors,PG,Comedy,7.1,4100.0,Dennis Dugan,Pat Proft,John Turturro,United States,-2990054.710963216,918239.0,Paramount Pictures,80.0,April,17,1992,4,1992-04-17,2,Friday
6208,The Long Day Closes,PG,Biography,7.4,3000.0,Terence Davies,Terence Davies,Leigh McCormack,United Kingdom,-4222982.369839754,22765.0,British Film Institute (BFI),85.0,May,28,1993,5,1993-05-28,2,Friday
6217,Three Colors: Blue,R,Drama,7.9,93000.0,Krzysztof Kieslowski,Krzysztof Kieslowski,Juliette Binoche,France,-7446802.741147019,1341154.0,MK2 Productions,94.0,September,8,1993,9,1993-09-08,3,Wednesday
6226,The Cement Garden,Not Rated,Drama,7.1,4500.0,Andrew Birkin,Andrew Birkin,Charlotte Gainsbourg,France,-7233106.577487949,322975.0,British Broadcasting Corporation (BBC),101.0,February,11,1994,2,1994-02-11,1,Friday
6242,The Scent of Green Papaya,Not Rated,Drama,7.4,8300.0,Anh Hung Tran,Anh Hung Tran,Nu Yên-Khê Tran,Vietnam,-7384446.201029237,1700992.0,Les Productions Lazennec,104.0,January,28,1994,1,1994-01-28,1,Friday
6250,Suture,Not Rated,Drama,6.6,1800.0,Scott McGehee,Scott McGehee,Dennis Haysbert,United States,-6691859.517554957,102780.0,Kino Korsakoff,96.0,August,24,1994,8,1994-08-24,3,Wednesday
6252,Caro diario,Unrated,Biography,7.3,7400.0,Nanni Moretti,Nanni Moretti,Nanni Moretti,Italy,-2205908.6960185617,225278.0,Sacher Film,100.0,September,30,1994,9,1994-09-30,3,Friday
6256,Totally F***ed Up,Unrated,Comedy,6.4,3000.0,Gregg Araki,Gregg Araki,James Duval,United States,-6168604.784087978,101071.0,Blurco,78.0,January,13,1995,1,1995-01-13,1,Friday
6270,Three Colors: Red,R,Drama,8.1,94000.0,Krzysztof Kieslowski,Krzysztof Kieslowski,Irène Jacob,Switzerland,-5805233.244374447,3581969.0,MK2 Productions,99.0,November,23,1994,11,1994-11-23,4,Wednesday
6277,Three Colors: White,R,Comedy,7.6,67000.0,Krzysztof Kieslowski,Krzysztof Kieslowski,Zbigniew Zamachowski,Switzerland,-4179777.223061869,1237219.0,MK2 Productions,92.0,June,10,1994,6,1994-06-10,2,Friday
6288,Sister My Sister,R,Drama,6.6,3200.0,Nancy Meckler,Wendy Kesselman,Julie Walters,United Kingdom,-3647555.656590752,217881.0,British Screen Productions,86.0,July,14,1995,7,1995-07-14,3,Friday
6289,Miracle on 34th Street,PG,Family,6.5,33000.0,Les Mayfield,Valentine Davies,Richard Attenborough,United States,-8912090.703683835,46264384.0,Twentieth Century Fox,114.0,November,18,1994,11,1994-11-18,4,Friday
6310,Lassie,PG,Family,5.9,5400.0,Daniel Petrie,Eric Knight,Helen Slater,United States,-20513412.11892693,9979683.0,Broadway Pictures,94.0,July,22,1994,7,1994-07-22,3,Friday
6324,Priest,R,Drama,7.1,9800.0,Antonia Bird,Jimmy McGovern,Linus Roache,United Kingdom,-22745.092788763344,4165845.0,BBC Films,98.0,March,24,1995,3,1995-03-24,1,Friday
6330,River of Grass,Not Rated,Drama,6.6,1800.0,Kelly Reichardt,Jesse Hartman,Lisa Donaldson,United States,-17137689.27482033,11553.0,Good Machine,76.0,October,13,1995,10,1995-10-13,4,Friday
6331,The Browning Version,R,Drama,7.2,3100.0,Mike Figgis,Terence Rattigan,Albert Finney,United Kingdom,-1693684.8547687456,487391.0,Percy Main,97.0,October,12,1994,10,1994-10-12,4,Wednesday
6334,La Haine,Not Rated,Crime,8.1,157000.0,Mathieu Kassovitz,Mathieu Kassovitz,Vincent Cassel,France,-10109219.423351612,302606.0,Le Studio Canal+,98.0,February,23,1996,2,1996-02-23,1,Friday
6349,When Night Is Falling,Unrated,Drama,6.5,6700.0,Patricia Rozema,Patricia Rozema,Pascale Bussières,Canada,-799307.0506378189,919671.0,Alliance Communications Corporation,94.0,November,17,1995,11,1995-11-17,4,Friday
6370,The Addiction,Not Rated,Drama,6.5,9200.0,Abel Ferrara,Nicholas St. John,Lili Taylor,United States,-13317913.17329247,307308.0,Fast Films,82.0,October,6,1995,10,1995-10-06,4,Friday
6380,Land and Freedom,Not Rated,Drama,7.6,11000.0,Ken Loach,Jim Allen,Ian Hart,United Kingdom,-6245670.893176299,228800.0,ARD Degeto Film,109.0,March,22,1996,3,1996-03-22,1,Friday
6384,La fille seule,TV-MA,Drama,6.9,1500.0,Benoît Jacquot,Jérôme Beaujour,Virginie Ledoyen,France,-13532014.571308218,230049.0,Cinéa,90.0,October,30,1996,10,1996-10-30,4,Wednesday
6391,Trainspotting,R,Drama,8.1,647000.0,Danny Boyle,Irvine Welsh,Ewan McGregor,United Kingdom,-6217014.600880228,16607872.0,Channel Four Films,93.0,August,9,1996,8,1996-08-09,3,Friday
6406,Beautiful Thing,R,Comedy,7.6,23000.0,Hettie Macdonald,Jonathan Harvey,Glen Berry,United Kingdom,-5255897.634504624,1548120.0,Channel Four Films,90.0,October,9,1996,10,1996-10-09,4,Wednesday
6407,Irma Vep,Not Rated,Comedy,7.1,5900.0,Olivier Assayas,Olivier Assayas,Maggie Cheung,France,-5819876.072336525,292040.0,Dacia Films,99.0,April,30,1997,4,1997-04-30,2,Wednesday
6416,The Daytrippers,R,Comedy,7.0,4900.0,Greg Mottola,Greg Mottola,Hope Davis,Canada,-2955654.159673447,2099677.0,Alliance Communications Corporation,87.0,March,5,1997,3,1997-03-05,1,Wednesday
6432,Kids in the Hall: Brain Candy,R,Comedy,6.9,8300.0,Kelly Makin,Norm Hiscock,Dave Foley,Canada,-1194130.583122112,2654308.0,Paramount Pictures,89.0,April,19,1996,4,1996-04-19,2,Friday
6446,Cube,R,Drama,7.2,218000.0,Vincenzo Natali,André Bijelic,Nicole de Boer,Canada,-4967798.130049422,565727.0,Cube Libre,90.0,July,11,1998,7,1998-07-11,3,Saturday
6452,Taste of Cherry,Not Rated,Drama,7.8,26000.0,Abbas Kiarostami,Abbas Kiarostami,Homayoun Ershadi,Iran,-14826797.260704916,10923.0,Abbas Kiarostami Productions,95.0,November,26,1997,11,1997-11-26,4,Wednesday
6459,The Castle,R,Comedy,7.7,15000.0,Rob Sitch,Santo Cilauro,Michael Caton,Australia,-8606033.704283595,877862.0,Working Dog,85.0,May,7,1999,5,1999-05-07,2,Friday
6461,Nowhere,R,Comedy,6.5,8400.0,Gregg Araki,Gregg Araki,James Duval,United States,-2633350.055116119,194201.0,Blurco,82.0,May,9,1997,5,1997-05-09,2,Friday
6465,Insomnia,Not Rated,Crime,7.3,14000.0,Erik Skjoldbjærg,Nikolaj Frobenius,Stellan Skarsgård,Norway,-6312214.122606885,227569.0,Norsk Film,96.0,May,29,1998,5,1998-05-29,2,Friday
6475,Knockin' on Heaven's Door,Not Rated,Action,7.9,28000.0,Thomas Jahn,Thomas Jahn,Til Schweiger,Germany,-503429.3331348337,5710.0,Buena Vista International Film Production (Germany),87.0,February,20,1997,2,1997-02-20,1,Thursday
6495,Run Lola Run,R,Crime,7.7,191000.0,Tom Tykwer,Tom Tykwer,Franka Potente,Germany,-7702333.751383904,7267585.0,X-Filme Creative Pool,80.0,June,18,1999,6,1999-06-18,2,Friday
6497,I Stand Alone,Not Rated,Crime,7.4,22000.0,Gaspar Noé,Gaspar Noé,Philippe Nahon,France,-8530452.386384081,6955.0,Canal+,93.0,February,17,1999,2,1999-02-17,1,Wednesday
6499,SLC Punk!,R,Comedy,7.4,26000.0,James Merendino,James Merendino,Matthew Lillard,United States,-495452.3468881101,299569.0,Beyond Films,97.0,April,16,1999,4,1999-04-16,2,Friday
6500,Croupier,Not Rated,Crime,7.1,20000.0,Mike Hodges,Paul Mayersberg,Clive Owen,Ireland,-5132832.534559626,7120568.0,ARTE,94.0,July,28,2000,7,2000-07-28,3,Friday
6505,Show Me Love,Not Rated,Comedy,7.5,50000.0,Lukas Moodysson,Lukas Moodysson,Alexandra Dahlström,Sweden,-13518545.39841992,219331.0,Memfis Film,89.0,October,23,1998,10,1998-10-23,4,Friday
6521,After Life,Not Rated,Drama,7.6,11000.0,Hirokazu Koreeda,Hirokazu Koreeda,Arata Iura,Japan,-950902.8891082072,801985.0,Engine Film,119.0,April,17,1999,4,1999-04-17,2,Saturday
6526,Besieged,R,Drama,6.9,4700.0,Bernardo Bertolucci,Clare Peploe,Thandiwe Newton,Italy,-1654465.9163284749,2048740.0,Fiction,93.0,February,5,1999,2,1999-02-05,1,Friday
6543,The War Zone,R,Drama,7.3,9800.0,Tim Roth,Alexander Stuart,Ray Winstone,Italy,-1829141.7857658933,254441.0,Channel Four Films,98.0,June,11,1999,6,1999-06-11,2,Friday
6549,The Wind Will Carry Us,Not Rated,Drama,7.5,9600.0,Abbas Kiarostami,Mahmoud Aiden,Behzad Dorani,Iran,-912006.7847895584,259510.0,MK2 Productions,118.0,November,24,1999,11,1999-11-24,4,Wednesday
6560,The Color of Paradise,PG,Drama,8.2,16000.0,Majid Majidi,Majid Majidi,Hossein Mahjoub,Iran,-6963432.934326243,2777552.0,Varahonar Company,90.0,September,7,2000,9,2000-09-07,3,Thursday
6561,Rosetta,R,Drama,7.5,13000.0,Jean-Pierre Dardenne,Jean-Pierre Dardenne,Émilie Dequenne,France,-4657104.03936173,293092.0,ARP Sélection,95.0,September,22,1999,9,1999-09-22,3,Wednesday
6562,A Room for Romeo Brass,R,Comedy,7.6,5500.0,Shane Meadows,Robyn Slovo,Martin Arrowsmith,United Kingdom,-5493971.170704953,19478.0,Alliance Atlantis Communications,90.0,February,4,2000,2,2000-02-04,1,Friday
6563,An Affair of Love,R,Drama,7.1,5300.0,Frédéric Fonteyne,Philippe Blasband,Nathalie Baye,France,-9933208.75926108,401299.0,Artémis Productions,80.0,September,4,1999,9,1999-09-04,3,Saturday
6571,Sexy Beast,R,Crime,7.3,57000.0,Jonathan Glazer,Louis Mellis,Ray Winstone,United Kingdom,-310363.0739335697,10045677.0,Recorded Picture Company (RPC),89.0,July,13,2001,7,2001-07-13,3,Friday
6572,In the Mood for Love,PG,Drama,8.1,133000.0,Kar-Wai Wong,Kar-Wai Wong,Tony Chiu-Wai Leung,Hong Kong,-391753.1188914515,14244250.0,Block 2 Pictures,98.0,March,9,2001,3,2001-03-09,1,Friday
6575,Chopper,R,Biography,7.2,37000.0,Andrew Dominik,Mark Brandon Read,Eric Bana,Australia,-2583246.5759084,238471.0,Australian Film Finance Corporation (AFFC),94.0,August,3,2000,8,2000-08-03,3,Thursday
6580,Love & Sex,R,Comedy,6.2,5300.0,Valerie Breiman,Valerie Breiman,Famke Janssen,United States,-675529.1958531067,580372.0,Behaviour Worldwide,82.0,July,14,2000,7,2000-07-14,3,Friday
6584,Under the Sand,Unrated,Drama,7.1,8500.0,François Ozon,François Ozon,Charlotte Rampling,France,-4896277.616922066,6531687.0,Fidélité Productions,92.0,May,4,2001,5,2001-05-04,2,Friday
6585,O Fantasma,Unrated,Drama,5.8,3200.0,João Pedro Rodrigues,João Pedro Rodrigues,Ricardo Meneses,Portugal,-107085.73101755232,126783.0,Rosa Filmes,87.0,October,20,2000,10,2000-10-20,4,Friday
6590,Maelstrom,R,Drama,6.9,5000.0,Denis Villeneuve,Denis Villeneuve,Marie-Josée Croze,Canada,-5028359.858806774,254380.0,Max Films Productions,87.0,September,15,2000,9,2000-09-15,3,Friday
6593,Songs from the Second Floor,Not Rated,Comedy,7.6,18000.0,Roy Andersson,Roy Andersson,Lars Nordh,Sweden,-9533918.734166346,80334.0,Arte France Cinéma,98.0,October,6,2000,10,2000-10-06,4,Friday
6602,Bully,TV-MA,Biography,6.9,35000.0,Larry Clark,Jim Schutze,Brad Renfro,United States,-3368621.795257099,704808.0,StudioCanal,108.0,December,12,2001,12,2001-12-12,4,Wednesday
6604,Fat Girl,Not Rated,Drama,6.5,11000.0,Catherine Breillat,Catherine Breillat,Anaïs Reboux,France,-11165727.10741358,765705.0,Arte France Cinéma,86.0,March,7,2001,3,2001-03-07,1,Wednesday
6608,Manic,R,Drama,7.2,9300.0,Jordan Melamed,Michael Bacall,Joseph Gordon-Levitt,United States,-174941.2393503338,69958.0,Manic LLC,100.0,May,23,2003,5,2003-05-23,2,Friday
6617,No Man's Land,R,Comedy,7.9,45000.0,Danis Tanovic,Danis Tanovic,Branko Djuric,France,-2504581.886162224,4858869.0,Noé Productions,98.0,September,19,2001,9,2001-09-19,3,Wednesday
6621,Trouble Every Day,Not Rated,Drama,6.0,7500.0,Claire Denis,Claire Denis,Vincent Gallo,France,-264616.49138785526,15571.0,ARTE,101.0,July,11,2001,7,2001-07-11,3,Wednesday
6628,Storytelling,R,Comedy,6.8,17000.0,Todd Solondz,Todd Solondz,Selma Blair,United States,-1767648.6683695018,1318945.0,New Line Cinema,87.0,November,8,2001,11,2001-11-08,4,Thursday
6631,La Ciénaga,Not Rated,Comedy,7.1,6100.0,Lucrecia Martel,Lucrecia Martel,Mercedes Morán,Argentina,-3735744.906154737,270811.0,4k Films,103.0,April,12,2001,4,2001-04-12,2,Thursday
6634,Irreversible,Not Rated,Crime,7.4,124000.0,Gaspar Noé,Gaspar Noé,Monica Bellucci,France,-5388110.44560064,6479328.0,120 Films,97.0,May,24,2002,5,2002-05-24,2,Friday
6650,Russian Ark,Not Rated,Drama,7.4,20000.0,Aleksandr Sokurov,Boris Khaimsky,Sergey Dreyden,Russia,-9020923.68178587,8690168.0,The State Hermitage Museum,99.0,April,19,2003,4,2003-04-19,2,Saturday
6660,High Tension,R,Horror,6.8,69000.0,Alexandre Aja,Alexandre Aja,Cécile de France,France,-4658358.018889029,6291958.0,Alexandre Films,91.0,June,10,2005,6,2005-06-10,2,Friday
6661,"Spring, Summer, Fall, Winter... and Spring",R,Drama,8.0,79000.0,Kim Ki-duk,Kim Ki-duk,Kim Ki-duk,South Korea,-2376889.77076295,8945072.0,Korea Pictures,103.0,May,28,2004,5,2004-05-28,2,Friday
6667,The Return,Not Rated,Drama,8.0,44000.0,Andrey Zvyagintsev,Vladimir Moiseenko,Vladimir Garin,Russia,-7090828.342754584,8482993.0,Ren Film,110.0,June,25,2003,6,2003-06-25,2,Wednesday
6669,Evil,Not Rated,Drama,7.8,36000.0,Mikael Håfström,Jan Guillou,Andreas Wilson,Sweden,-5349202.075515617,528245.0,Moviola Film och Television AB,113.0,September,26,2003,9,2003-09-26,3,Friday
6677,Love Me If You Dare,R,Comedy,7.6,68000.0,Yann Samuell,Yann Samuell,Guillaume Canet,France,-2653046.1787453685,8604201.0,Nord-Ouest Films,93.0,May,28,2004,5,2004-05-28,2,Friday
6699,My Summer of Love,R,Drama,6.7,20000.0,Pawel Pawlikowski,Helen Cross,Natalie Press,United Kingdom,-3908535.219759017,2766976.0,Apocalypso Pictures,86.0,July,1,2005,7,2005-07-01,3,Friday
6702,9 Songs,Not Rated,Drama,4.8,22000.0,Michael Winterbottom,Michael Winterbottom,Kieran O'Brien,United Kingdom,-8033419.759929791,1590308.0,Revolution Films,71.0,March,11,2005,3,2005-03-11,1,Friday
6703,Somersault,Not Rated,Drama,6.7,7600.0,Cate Shortland,Cate Shortland,Abbie Cornish,Australia,-1914206.6754604988,1482316.0,Red Carpet Productions,106.0,September,16,2004,9,2004-09-16,3,Thursday
6704,Mysterious Skin,Unrated,Drama,7.6,67000.0,Gregg Araki,Gregg Araki,Brady Corbet,United States,-1879692.656289652,1532932.0,Antidote Films (I),105.0,June,24,2005,6,2005-06-24,2,Friday
6709,Dead Man's Shoes,Not Rated,Crime,7.6,51000.0,Shane Meadows,Paddy Considine,Paddy Considine,United Kingdom,-11292867.299883563,203450.0,Warp Films,90.0,October,1,2004,10,2004-10-01,4,Friday
6718,The Woodsman,R,Drama,7.2,33000.0,Nicole Kassell,Steven Fechter,Kevin Bacon,United States,-6288538.282352313,4678405.0,Dash Films,87.0,January,28,2005,1,2005-01-28,1,Friday
6724,Saving Face,R,Comedy,7.4,11000.0,Alice Wu,Alice Wu,Joan Chen,United States,-3523475.390892083,1236518.0,Destination Films,91.0,June,24,2005,6,2005-06-24,2,Friday
6731,Five Times Two,R,Drama,6.6,9100.0,François Ozon,François Ozon,Valeria Bruni Tedeschi,France,-566509.4313841462,7444906.0,Fidélité Productions,90.0,September,1,2004,9,2004-09-01,3,Wednesday
6734,Palindromes,Not Rated,Comedy,6.7,12000.0,Todd Solondz,Todd Solondz,Jennifer Jason Leigh,United States,-2669931.411663994,809686.0,Extra Large Pictures,100.0,January,21,2005,1,2005-01-21,1,Friday
6751,Adam's Apples,R,Comedy,7.8,47000.0,Anders Thomas Jensen,Anders Thomas Jensen,Ulrich Thomsen,Denmark,-4282958.030888358,2421577.0,M&M Productions,94.0,April,15,2005,4,2005-04-15,2,Friday
6759,Angel-A,R,Comedy,7.1,33000.0,Luc Besson,Luc Besson,Rie Rasmussen,France,-382501.9479366466,9995168.0,EuropaCorp,91.0,December,21,2005,12,2005-12-21,4,Wednesday
6764,Little Manhattan,PG,Comedy,7.5,23000.0,Mark Levin,Jennifer Flackett,Josh Hutcherson,United States,-242711.5824131854,1254005.0,New Regency Productions,90.0,January,5,2006,1,2006-01-05,1,Thursday
6765,Black,Not Rated,Drama,8.2,34000.0,Sanjay Leela Bhansali,Sanjay Leela Bhansali,Amitabh Bachchan,India,-3104417.068961676,1266341.0,Applause Bhansali Productions,122.0,February,4,2005,2,2005-02-04,1,Friday
6770,This Is England,Not Rated,Crime,7.7,117000.0,Shane Meadows,Shane Meadows,Thomas Turgoose,United Kingdom,-4951245.287347566,8481254.0,Warp Films,101.0,April,27,2007,4,2007-04-27,2,Friday
