name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross revenue,company,runtime,release month,release day,release year,other,release month num,release date,release quarter,release day of week,FILM,title_urled,budget_scraped
Honeysuckle Rose,PG,Drama,1980,"July 18, 1980 (United States)",6.3,1400.0,Jerry Schatzberg,Gösta Stevens,Willie Nelson,United States,,17815212.0,Major Studio Partners,119.0,July,18,1980,(United States),7,1980-07-18,3,Friday,Honeysuckle Rose (1980),honeysuckle_rose_1980,
Resurrection,PG,Drama,1980,"September 26, 1980 (United States)",7.3,2800.0,Daniel Petrie,Lewis John Carlino,Ellen Burstyn,United States,,3910019.0,Universal Pictures,103.0,September,26,1980,(United States),9,1980-09-26,3,Friday,Resurrection (1980),resurrection_1980,
Fatso,PG,Comedy,1980,"February 1, 1980 (United States)",6.3,2000.0,Anne Bancroft,Anne Bancroft,Dom DeLuise,United States,,7653061.0,Brooksfilms,93.0,February,1,1980,(United States),2,1980-02-01,1,Friday,Fatso (1980),fatso_1980,
The Fiendish Plot of Dr. Fu Manchu,PG,Comedy,1980,"August 8, 1980 (United States)",5.1,2000.0,Piers Haggard,Rudy Dochtermann,Peter Sellers,United States,,10697276.0,Braun Entertainment Group,100.0,August,8,1980,(United States),8,1980-08-08,3,Friday,The Fiendish Plot of Dr. Fu Manchu (1980),the_fiendish_plot_of_dr_fu_manchu_1980,
Serial,R,Comedy,1980,"March 28, 1980 (United States)",6.6,915.0,Bill Persky,Cyra McFadden,Martin Mull,United States,,9870727.0,Paramount Pictures,86.0,March,28,1980,(United States),3,1980-03-28,1,Friday,Serial (1980),serial_1980,
Hero at Large,PG,Comedy,1980,"February 8, 1980 (United States)",6.0,1500.0,Martin Davidson,AJ Carothers,John Ritter,United States,,15934737.0,Kings Road Entertainment,98.0,February,8,1980,(United States),2,1980-02-08,1,Friday,Hero at Large (1980),hero_at_large_1980,
Wholly Moses!,PG,Comedy,1980,"June 13, 1980 (United States)",4.7,1800.0,Gary Weis,Guy Thomas,Dudley Moore,United States,,14155617.0,Columbia Pictures,103.0,June,13,1980,(United States),6,1980-06-13,2,Friday,Wholly Moses! (1980),wholly_moses_1980,"$12 million
  gross            = $14,155,617"
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",G,Animation,1980,"May 30, 1980 (United States)",7.3,2900.0,Bill Melendez,Charles M. Schulz,Scott Beach,United States,,2013193.0,Lee Mendelson Film Productions,75.0,May,30,1980,(United States),5,1980-05-30,2,Friday,"Bon Voyage, Charlie Brown (and Don't Come Back!!) (1980)",bon_voyage_charlie_brown_and_don_t_come_back_1980,
In God We Trust (or Gimme That Prime Time Religion),PG,Comedy,1980,"September 26, 1980 (United States)",5.5,965.0,Marty Feldman,Marty Feldman,Marty Feldman,United States,,5215015.0,Universal Pictures,97.0,September,26,1980,(United States),9,1980-09-26,3,Friday,In God We Trust (or Gimme That Prime Time Religion) (1980),in_god_we_trust_or_gimme_that_prime_time_religion_1980,
Roadie,PG,Comedy,1980,"June 13, 1980 (United States)",5.2,1100.0,Alan Rudolph,Big Boy Medlin,Meat Loaf,United States,,4226370.0,Alive Enterprises,106.0,June,13,1980,(United States),6,1980-06-13,2,Friday,Roadie (1980),roadie_1980,
Just Tell Me What You Want,R,Comedy,1980,"January 18, 1980 (United States)",5.5,585.0,Sidney Lumet,Jay Presson Allen,Ali MacGraw,United States,,2086905.0,Warner Bros.,112.0,January,18,1980,(United States),1,1980-01-18,1,Friday,Just Tell Me What You Want (1980),just_tell_me_what_you_want_1980,
Little Miss Marker,PG,Comedy,1980,"March 21, 1980 (United States)",6.3,1400.0,Walter Bernstein,Damon Runyon,Walter Matthau,United States,,6321392.0,Universal Pictures,103.0,March,21,1980,(United States),3,1980-03-21,1,Friday,Little Miss Marker (1980),little_miss_marker_1980,
Windows,R,Drama,1980,"January 18, 1980 (United States)",4.8,643.0,Gordon Willis,Barry Siegel,Talia Shire,United States,,2128395.0,Mike Lobell Productions,96.0,January,18,1980,(United States),1,1980-01-18,1,Friday,Windows (1980),windows_1980,
Loving Couples,PG,Comedy,1980,"October 24, 1980 (United States)",5.2,351.0,Jack Smight,Martin Donovan,Shirley MacLaine,United States,,2806659.0,Time Life Films,97.0,October,24,1980,(United States),10,1980-10-24,4,Friday,Loving Couples (1980),loving_couples_1980,
The King and the Mockingbird,Not Rated,Animation,1980,"March 19, 1980 (France)",7.9,4800.0,Paul Grimault,Hans Christian Andersen,Jean Martin,France,,167451.0,Les Films Paul Grimault,83.0,March,19,1980,(France),3,1980-03-19,1,Wednesday,The King and the Mockingbird (1980),the_king_and_the_mockingbird_1980,
"Oh, God! Book II",PG,Comedy,1980,"October 3, 1980 (United States)",5.2,2100.0,Gilbert Cates,Josh Greenfeld,George Burns,United States,,14504277.0,Warner Bros.,94.0,October,3,1980,(United States),10,1980-10-03,4,Friday,"Oh, God! Book II (1980)",oh_god_book_ii_1980,
"Those Lips, Those Eyes",R,Comedy,1980,"August 15, 1980 (United States)",6.5,269.0,Michael Pressman,David Shaber,Frank Langella,United States,,804713.0,Herb Jaffe,105.0,August,15,1980,(United States),8,1980-08-15,3,Friday,"Those Lips, Those Eyes (1980)",those_lips_those_eyes_1980,
The Gong Show Movie,R,Comedy,1980,"May 23, 1980 (United States)",4.3,740.0,Chuck Barris,Chuck Barris,Chuck Barris,United States,,6621520.0,Chuck Barris Productions,89.0,May,23,1980,(United States),5,1980-05-23,2,Friday,The Gong Show Movie (1980),the_gong_show_movie_1980,
Gilda Live,R,Comedy,1980,"March 28, 1980 (United States)",6.8,599.0,Mike Nichols,Anne Beatts,Gilda Radner,United States,,2261507.0,Broadway Productions,96.0,March,28,1980,(United States),3,1980-03-28,1,Friday,Gilda Live (1980),gilda_live_1980,
Why Would I Lie?,PG,Comedy,1980,"August 8, 1980 (United States)",6.5,211.0,Larry Peerce,Hollis Hodges,Treat Williams,United States,,1175855.0,Metro-Goldwyn-Mayer (MGM),105.0,August,8,1980,(United States),8,1980-08-08,3,Friday,Why Would I Lie? (1980),why_would_i_lie_1980,
First Family,R,Comedy,1980,"December 25, 1980 (United States)",4.3,593.0,Buck Henry,Buck Henry,Bob Newhart,United States,,15198912.0,F.F. Associates,97.0,December,25,1980,(United States),12,1980-12-25,4,Thursday,First Family (1980),first_family_1980,
The Watcher in the Woods,PG,Family,1980,"October 9, 1981 (United States)",6.3,5700.0,John Hough,Brian Clemens,Bette Davis,United States,,5000000.0,Walt Disney Productions,84.0,October,9,1981,(United States),10,1981-10-09,4,Friday,The Watcher in the Woods (1981),the_watcher_in_the_woods_1981,$9 million[1]
City of Women,R,Comedy,1980,"April 8, 1981 (United States)",7.0,6700.0,Federico Fellini,Federico Fellini,Marcello Mastroianni,Italy,,12516.0,Opera Film Produzione,139.0,April,8,1981,(United States),4,1981-04-08,2,Wednesday,City of Women (1981),city_of_women_1981,
It's My Turn,R,Comedy,1980,"February 5, 1981 (Argentina)",5.5,875.0,Claudia Weill,Eleanor Bergstein,Jill Clayburgh,United States,,,Rastar Films,91.0,February,5,1981,(Argentina),2,1981-02-05,1,Thursday,It's My Turn (1981),it_s_my_turn_1981,
La Cage aux Folles II,R,Comedy,1980,"February 15, 1981 (United States)",5.8,1900.0,Édouard Molinaro,Jean Poiret,Michel Serrault,France,,6950125.0,Da.Ma. Cinematografica,102.0,February,15,1981,(United States),2,1981-02-15,1,Sunday,La Cage aux Folles II (1981),la_cage_aux_folles_ii_1981,
Body Heat,R,Crime,1981,"August 28, 1981 (United States)",7.4,32000.0,Lawrence Kasdan,Lawrence Kasdan,William Hurt,United States,,24058838.0,The Ladd Company,113.0,August,28,1981,(United States),8,1981-08-28,3,Friday,Body Heat (1981),body_heat_1981,$9 million[1]
Endless Love,R,Drama,1981,"July 17, 1981 (United States)",4.9,7600.0,Franco Zeffirelli,Scott Spencer,Brooke Shields,United States,,32492674.0,PolyGram Filmed Entertainment,116.0,July,17,1981,(United States),7,1981-07-17,3,Friday,Endless Love (1981),endless_love_1981,
The Four Seasons,PG,Comedy,1981,"May 22, 1981 (United States)",6.8,4200.0,Alan Alda,Alan Alda,Alan Alda,United States,,50427646.0,Universal Pictures,107.0,May,22,1981,(United States),5,1981-05-22,2,Friday,The Four Seasons (1981),the_four_seasons_1981,$6.5 million[1]
Scanners,R,Horror,1981,"January 14, 1981 (United States)",6.8,51000.0,David Cronenberg,David Cronenberg,Jennifer O'Neill,Canada,,14225876.0,Canadian Film Development Corporation (CFDC),103.0,January,14,1981,(United States),1,1981-01-14,1,Wednesday,Scanners (1981),scanners_1981,
My Dinner with Andre,PG,Biography,1981,"October 11, 1981 (United States)",7.8,19000.0,Louis Malle,Wallace Shawn,Andre Gregory,United States,,5073.0,Saga Productions Inc.,110.0,October,11,1981,(United States),10,1981-10-11,4,Sunday,My Dinner with Andre (1981),my_dinner_with_andre_1981,"$475,000"
Caveman,PG,Comedy,1981,"April 17, 1981 (United States)",5.8,7300.0,Carl Gottlieb,Rudy De Luca,Ringo Starr,United States,,15965924.0,Estudios Churubusco Azteca S.A.,91.0,April,17,1981,(United States),4,1981-04-17,2,Friday,Caveman (1981),caveman_1981,$4-5 million[1]
Ragtime,PG,Drama,1981,"December 25, 1981 (United States)",7.3,9000.0,Milos Forman,E.L. Doctorow,James Cagney,United States,,14920781.0,Dino De Laurentiis Company,155.0,December,25,1981,(United States),12,1981-12-25,4,Friday,Ragtime (1981),ragtime_1981,$28.3 million[1]
Gallipoli,PG,Adventure,1981,"August 28, 1981 (United States)",7.4,38000.0,Peter Weir,David Williamson,Mel Gibson,Australia,,5732587.0,R&R Films,110.0,August,28,1981,(United States),8,1981-08-28,3,Friday,Gallipoli (1981),gallipoli_1981,A$2.8 million[2]
Southern Comfort,R,Action,1981,"September 25, 1981 (United States)",7.2,17000.0,Walter Hill,Michael Kane,Keith Carradine,United States,,,Cinema Group Ventures,106.0,September,25,1981,(United States),9,1981-09-25,3,Friday,Southern Comfort (1981),southern_comfort_1981,$7.6 million[1][2]
Ghost Story,R,Drama,1981,"December 18, 1981 (United States)",6.3,7900.0,John Irvin,Peter Straub,Craig Wasson,United States,,23371905.0,Universal Pictures,110.0,December,18,1981,(United States),12,1981-12-18,4,Friday,Ghost Story (1981),ghost_story_1981,$13.5 million[1]
My Bloody Valentine,R,Horror,1981,"February 11, 1981 (United States)",6.3,19000.0,George Mihalka,Stephen A. Miller,Paul Kelman,Canada,,5672031.0,Canadian Film Development Corporation (CFDC),90.0,February,11,1981,(United States),2,1981-02-11,1,Wednesday,My Bloody Valentine (1981),my_bloody_valentine_1981,$2.3 million[2]
The Funhouse,R,Horror,1981,"March 13, 1981 (United States)",5.9,13000.0,Tobe Hooper,Lawrence J. Block,Elizabeth Berridge,United States,,7886857.0,Universal Pictures,96.0,March,13,1981,(United States),3,1981-03-13,1,Friday,The Funhouse (1981),the_funhouse_1981,$3 million
The French Lieutenant's Woman,R,Drama,1981,"October 16, 1981 (United States)",7.0,13000.0,Karel Reisz,John Fowles,Meryl Streep,United Kingdom,,26890068.0,Juniper Films,124.0,October,16,1981,(United States),10,1981-10-16,4,Friday,The French Lieutenant's Woman (1981),the_french_lieutenant_s_woman_1981,$8 million[1]
The Great Muppet Caper,G,Adventure,1981,"June 26, 1981 (United States)",7.2,14000.0,Jim Henson,Tom Patchett,Jim Henson,United Kingdom,,31206251.0,Henson Associates (HA),97.0,June,26,1981,(United States),6,1981-06-26,2,Friday,The Great Muppet Caper (1981),the_great_muppet_caper_1981,$14 million[3][4]
Nice Dreams,R,Comedy,1981,"June 5, 1981 (United States)",6.2,7100.0,Tommy Chong,Tommy Chong,Cheech Marin,United States,,37000000.0,C & C Brown Production,88.0,June,5,1981,(United States),6,1981-06-05,2,Friday,Nice Dreams (1981),nice_dreams_1981,
Sharky's Machine,R,Action,1981,"December 18, 1981 (United States)",6.3,5600.0,Burt Reynolds,William Diehl,Burt Reynolds,United States,,35610100.0,Deliverance Productions,122.0,December,18,1981,(United States),12,1981-12-18,4,Friday,Sharky's Machine (1981),sharky_s_machine_1981,$17.5 million[1]
Puberty Blues,R,Comedy,1981,"December 10, 1981 (Australia)",5.9,1300.0,Bruce Beresford,Margaret Kelly,Nell Schofield,Australia,,237000.0,Limelight Productions (II),87.0,December,10,1981,(Australia),12,1981-12-10,4,Thursday,Puberty Blues (1981),puberty_blues_1981,"AU $800,000[1]"
Eye of the Needle,R,Romance,1981,"July 24, 1981 (United States)",7.1,9900.0,Richard Marquand,Ken Follett,Donald Sutherland,United Kingdom,,17583634.0,Kings Road Entertainment,112.0,July,24,1981,(United States),7,1981-07-24,3,Friday,Eye of the Needle (1981),eye_of_the_needle_1981,
Student Bodies,R,Comedy,1981,"August 7, 1981 (United States)",5.5,4400.0,Mickey Rose,Mickey Rose,Kristen Riter,United States,,5165432.0,Allen Smithee Classic Films,86.0,August,7,1981,(United States),8,1981-08-07,3,Friday,Student Bodies (1981),student_bodies_1981,
The Hand,R,Drama,1981,"April 24, 1981 (United States)",5.5,5700.0,Oliver Stone,Marc Brandel,Michael Caine,United States,,2447576.0,Orion Pictures,104.0,April,24,1981,(United States),4,1981-04-24,2,Friday,The Hand (1981),the_hand_1981,"CAD 6,500,000"
Continental Divide,PG,Comedy,1981,"September 18, 1981 (United States)",6.2,4800.0,Michael Apted,Lawrence Kasdan,John Belushi,United States,,15578237.0,Universal Pictures,103.0,September,18,1981,(United States),9,1981-09-18,3,Friday,Continental Divide (1981),continental_divide_1981,$9 million[1]
Fort Apache the Bronx,R,Crime,1981,"February 6, 1981 (United States)",6.7,5800.0,Daniel Petrie,Heywood Gould,Paul Newman,United States,,29200000.0,Time Life Films,125.0,February,6,1981,(United States),2,1981-02-06,1,Friday,Fort Apache the Bronx (1981),fort_apache_the_bronx_1981,$10 million[1]
Zorro: The Gay Blade,PG,Action,1981,"July 17, 1981 (United States)",6.2,4100.0,Peter Medak,Hal Dresner,George Hamilton,United States,,,Melvin Simon Productions,93.0,July,17,1981,(United States),7,1981-07-17,3,Friday,Zorro: The Gay Blade (1981),zorro_the_gay_blade_1981,$12.6 million[1]
The Incredible Shrinking Woman,PG,Comedy,1981,"January 30, 1981 (United States)",5.5,4500.0,Joel Schumacher,Richard Matheson,Lily Tomlin,United States,,20259961.0,Lija Productions,88.0,January,30,1981,(United States),1,1981-01-30,1,Friday,The Incredible Shrinking Woman (1981),the_incredible_shrinking_woman_1981,
The Night the Lights Went Out in Georgia,PG,Drama,1981,"June 5, 1981 (United States)",6.0,891.0,Ron Maxwell,Bob Bonney,Kristy McNichol,United States,,14923752.0,Viacom Enterprises,112.0,June,5,1981,(United States),6,1981-06-05,2,Friday,The Night the Lights Went Out in Georgia (1981),the_night_the_lights_went_out_in_georgia_1981,$7.5 million[1]
Quartet,R,Drama,1981,"October 25, 1981 (United States)",6.3,1300.0,James Ivory,Jean Rhys,Isabelle Adjani,United Kingdom,,12042.0,Merchant Ivory Productions,101.0,October,25,1981,(United States),10,1981-10-25,4,Sunday,Quartet (1981),quartet_1981,
Night School,R,Horror,1981,"September 11, 1981 (United States)",5.6,2400.0,Ken Hughes,Ruth Avergon,Leonard Mann,United States,,1169875.0,Lorimar Productions,88.0,September,11,1981,(United States),9,1981-09-11,3,Friday,Night School (1981),night_school_1981,$1.2 million[2]
Rich and Famous,R,Drama,1981,"October 9, 1981 (United States)",5.9,1600.0,George Cukor,Gerald Ayres,Jacqueline Bisset,United States,,14492125.0,Jaquet,117.0,October,9,1981,(United States),10,1981-10-09,4,Friday,Rich and Famous (1981),rich_and_famous_1981,$11.5 million[1]
Modern Romance,R,Comedy,1981,"March 13, 1981 (United States)",7.0,3600.0,Albert Brooks,Albert Brooks,Albert Brooks,United States,,2863642.0,Columbia Pictures,93.0,March,13,1981,(United States),3,1981-03-13,1,Friday,Modern Romance (1981),modern_romance_1981,
Back Roads,R,Adventure,1981,"March 13, 1981 (United States)",5.6,829.0,Martin Ritt,Gary DeVore,Sally Field,United States,,11809387.0,CBS Theatrical Films,94.0,March,13,1981,(United States),3,1981-03-13,1,Friday,Back Roads (1981),back_roads_1981,
Raggedy Man,R,Drama,1981,"September 18, 1981 (United States)",6.8,1400.0,Jack Fisk,William D. Wittliff,Sissy Spacek,United States,,1976198.0,Universal Pictures,94.0,September,18,1981,(United States),9,1981-09-18,3,Friday,Raggedy Man (1981),raggedy_man_1981,$9 million[1]
Only When I Laugh,R,Comedy,1981,"September 25, 1981 (United States)",6.5,1300.0,Glenn Jordan,Neil Simon,Marsha Mason,United States,,25524778.0,Columbia Pictures,120.0,September,25,1981,(United States),9,1981-09-25,3,Friday,Only When I Laugh (1981),only_when_i_laugh_1981,
Paternity,PG,Comedy,1981,"October 2, 1981 (United States)",4.9,920.0,David Steinberg,Charlie Peters,Burt Reynolds,United States,,18838812.0,Paramount Pictures,94.0,October,2,1981,(United States),10,1981-10-02,4,Friday,Paternity (1981),paternity_1981,$9 million[1]
Scream,R,Horror,1981,"January 1, 1981 (United States)",2.9,674.0,Byron Quisenberry,Byron Quisenberry,Pepper Martin,United States,,,Calendar International Pictures,82.0,January,1,1981,(United States),1,1981-01-01,1,Thursday,Scream (1981),scream_1981,
The Devil and Max Devlin,PG,Comedy,1981,"March 6, 1981 (United States)",5.0,1200.0,Steven Hilliard Stern,Mary Rodgers,Elliott Gould,United States,,16000000.0,Walt Disney Productions,96.0,March,6,1981,(United States),3,1981-03-06,1,Friday,The Devil and Max Devlin (1981),the_devil_and_max_devlin_1981,
Comin' at Ya!,R,Western,1981,"July 24, 1981 (United States)",5.1,499.0,Ferdinando Baldi,Wolfe Lowenthal,Tony Anthony,Italy,,12000000.0,Lupo-Anthony-Quintano Productions,91.0,July,24,1981,(United States),7,1981-07-24,3,Friday,Comin' at Ya! (1981),comin_at_ya_1981,$2.5 million[1]
Silence of the North,PG,Drama,1981,"October 23, 1981 (Canada)",6.3,228.0,Allan King,Olive Frederickson,Ellen Burstyn,Canada,,1622898.0,Universal Pictures,94.0,October,23,1981,(Canada),10,1981-10-23,4,Friday,Silence of the North (1981),silence_of_the_north_1981,
Mantis Fist Fighter,,Action,1980,"July 9, 1982 (United States)",6.7,230.0,Wing-Cho Yip,Hsin-Yi Chang,Ka-Yan Leung,Hong Kong,,,East Asia Film Company,89.0,July,9,1982,(United States),7,1982-07-09,3,Friday,Mantis Fist Fighter (1982),mantis_fist_fighter_1982,
Das Boot,,Adventure,1981,"February 10, 1982 (United States)",8.3,237000.0,Wolfgang Petersen,Wolfgang Petersen,Jürgen Prochnow,West Germany,,11487676.0,Bavaria Film,149.0,February,10,1982,(United States),2,1982-02-10,1,Wednesday,Das Boot (1982),das_boot_1982,DM 32 million (equivalent to €32 million 2017)
On Golden Pond,PG,Drama,1981,"February 12, 1982 (United States)",7.6,29000.0,Mark Rydell,Ernest Thompson,Katharine Hepburn,United States,,119285432.0,IPC Films,109.0,February,12,1982,(United States),2,1982-02-12,1,Friday,On Golden Pond (1982),on_golden_pond_1982,$15 million[1]
Diva,R,Music,1981,"April 23, 1982 (United States)",7.2,12000.0,Jean-Jacques Beineix,Daniel Odier,Wilhelmenia Fernandez,France,,110014.0,Les Films Galaxie,117.0,April,23,1982,(United States),4,1982-04-23,2,Friday,Diva (1982),diva_1982,
Venom,R,Horror,1981,"January 29, 1982 (United States)",5.8,2600.0,Piers Haggard,Alan Scholefield,Klaus Kinski,United Kingdom,,5229643.0,Morison Film Group,92.0,January,29,1982,(United States),1,1982-01-29,1,Friday,Venom (1982),venom_1982,
The Amateur,R,Crime,1981,"February 12, 1982 (United States)",5.8,782.0,Charles Jarrott,Robert Littell,John Savage,Canada,,6892098.0,Balkan Productions,112.0,February,12,1982,(United States),2,1982-02-12,1,Friday,The Amateur (1982),the_amateur_1982,
Le Pont du Nord,Not Rated,Adventure,1981,"March 24, 1982 (France)",6.9,1100.0,Jacques Rivette,Bulle Ogier,Bulle Ogier,France,,17110.0,Les Films du Losange,129.0,March,24,1982,(France),3,1982-03-24,1,Wednesday,Le Pont du Nord (1982),le_pont_du_nord_1982,
Paradise,R,Adventure,1982,"May 7, 1982 (United States)",4.9,2500.0,Stuart Gillard,Stuart Gillard,Willie Aames,Canada,,5588800.0,Embassy Pictures,100.0,May,7,1982,(United States),5,1982-05-07,2,Friday,Paradise (1982),paradise_1982,
The Last American Virgin,R,Comedy,1982,"July 30, 1982 (United States)",6.3,8100.0,Boaz Davidson,Boaz Davidson,Lawrence Monoson,United States,,5829781.0,Cannon Group,92.0,July,30,1982,(United States),7,1982-07-30,3,Friday,The Last American Virgin (1982),the_last_american_virgin_1982,
Zapped!,R,Comedy,1982,"September 3, 1982 (United States)",4.9,6500.0,Robert J. Rosenthal,Bruce Rubin,Scott Baio,United States,,16897768.0,Embassy Pictures,98.0,September,3,1982,(United States),9,1982-09-03,3,Friday,Zapped! (1982),zapped_1982,
Six Pack,PG,Comedy,1982,"July 16, 1982 (United States)",5.9,2800.0,Daniel Petrie,Mike Marvin,Kenny Rogers,United States,,20225989.0,Twentieth Century Fox,108.0,July,16,1982,(United States),7,1982-07-16,3,Friday,Six Pack (1982),six_pack_1982,$11.5–13.5 million[1]
Night Shift,R,Comedy,1982,"July 30, 1982 (United States)",6.6,15000.0,Ron Howard,Lowell Ganz,Henry Winkler,United States,,21095638.0,Major Studio Partners,106.0,July,30,1982,(United States),7,1982-07-30,3,Friday,Night Shift (1982),night_shift_1982,$8.1 million[1]
Summer Lovers,R,Comedy,1982,"July 16, 1982 (United States)",5.7,3900.0,Randal Kleiser,Randal Kleiser,Peter Gallagher,United States,,4968000.0,Filmways Pictures,98.0,July,16,1982,(United States),7,1982-07-16,3,Friday,Summer Lovers (1982),summer_lovers_1982,"$5,000,000"
Victor Victoria,PG,Comedy,1982,"March 19, 1982 (United States)",7.6,20000.0,Blake Edwards,Blake Edwards,Julie Andrews,United Kingdom,,28229046.0,Metro-Goldwyn-Mayer (MGM),134.0,March,19,1982,(United States),3,1982-03-19,1,Friday,Victor Victoria (1982),victor_victoria_1982,$15 million[2]
The Sword and the Sorcerer,R,Action,1982,"April 30, 1982 (United States)",5.6,5700.0,Albert Pyun,Tom Karnowski,Lee Horsley,United States,,39103425.0,Sorcerer Productions,99.0,April,30,1982,(United States),4,1982-04-30,2,Friday,The Sword and the Sorcerer (1982),the_sword_and_the_sorcerer_1982,$4 million
